sezione,categoria,elemento,sito,tipo_documento,ente,riferimento,stato_validita,link
Impianto di betonaggio di Casarza Ligure,Produzione calcestruzzo,Calcestruzzo preconfezionato,Casarza Ligure,Certificato FPC,ICMQ,ICMQ-CLS-00881,In corso di validità,https://drive.google.com/uc?export=view&id=1nju-NPV5CNYbpwNzALZh7AFseki6COnO
Impianto di betonaggio di Casarza Ligure,Produzione calcestruzzo,Calcestruzzo CAM,Casarza Ligure,Certificato CAM,ICMQ,P854,In corso di validità,https://drive.google.com/uc?export=view&id=18C_STwYjQj7Cnd6TnXJ-yIKlQ_VYEMZ_
Impianto di betonaggio di Mezzanego,Produzione calcestruzzo,Calcestruzzo preconfezionato,Mezzanego,Certificato FPC,ICMQ,ICMQ-CLS00880,In corso di validità,https://drive.google.com/uc?export=view&id=1Y9RNPNVUWIzWVIeQ1zU2C54iYrsZAFYE
Impianto di betonaggio di Mezzanego,Produzione calcestruzzo,Calcestruzzo CAM,Mezzanego,Certificato CAM,ICMQ,P855,In corso di validità,https://drive.google.com/uc?export=view&id=1s5myTHoyWkYsGKXGDGNw2rvBMC5GmhDS
Recupero macerie Casarza Ligure,Recupero macerie,Aggregati per calcestruzzo e opere di ingegneria,Casarza Ligure,Certificato FPC/CPR,ICMQ,1305-CPR-1406,In corso di validità,https://drive.google.com/uc?export=view&id=1C5nz1uhOJKt7lxKOl78ERpeY253JV_ad
Pietrisco di cemento,Prodotti aggregati,Pietrisco di cemento,Casarza Ligure,DOP,,Lotto 1-2026,,https://drive.google.com/uc?export=view&id=1OjivXDrQgLbR8AbgGRTEnvHmPai6mWOu
Pietrisco di cemento,Prodotti aggregati,Pietrisco di cemento,Casarza Ligure,Marcatura CE,,Lotto 1-2026,,https://drive.google.com/uc?export=view&id=124geghJD8gLyZNNboZJsgS0o9XF5ZmEQ
Sabbione,Prodotti aggregati,Sabbione,Casarza Ligure,DOP,,Lotto 1-2026,,https://drive.google.com/uc?export=view&id=1w1vmbTvfDOrFjKsDs6QxlG6XNMsvioOs
Sabbione,Prodotti aggregati,Sabbione,Casarza Ligure,Marcatura CE,,Lotto 1-2026,,https://drive.google.com/uc?export=view&id=1nQWOmXcGUYoDPCyK-EUWtgfYXqnQtH3C
Sopravaglio,Prodotti aggregati,Sopravaglio,Casarza Ligure,DOP,,Lotto 1-2025,,https://drive.google.com/uc?export=view&id=1NwQeoBIAm0yA66cJ98vOxXHpUEdaRpuS
Sopravaglio,Prodotti aggregati,Sopravaglio,Casarza Ligure,Marcatura CE,,Lotto 1-2025,,https://drive.google.com/uc?export=view&id=1NwQeoBIAm0yA66cJ98vOxXHpUEdaRpuS
